item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
videogame,"Elder Scrolls 4: Oblivion Collector's Edition",PC,PC,PC,0710425218965,710425218965,"Elder Scrolls IV: Oblivion is the most richly detailed and vibrant game-world ever created. This new chapter uses next-generation technologies to create a fully immersive gaming adventure. The Emperor of Tamriel has been assassinated and the killer still runs loose; meanwhile, no heir sits on the throne. With no Emperor upon the throne, the gates of Oblivion open wide and demons invade. Your quest is to find the lost heir and place him on the throne, before demons destroy the land. Special Collector's Edition includes: Pocket Guide to the Empire, ""Making of Oblivion"" Documentary and a Septim Gold Coin. Next-generation graphics with pixel-shader effects for high-definition TVs, creating lifelike towns &amp; dungeons, and the most realistic forests",2K,2006-03-20,RPG,rpg,,15.00,,,,,,,Mature,,,," Not begun"," "," ",2023-11-01,1
videogame,"The Oregon Trail 5th Edition",PC,PC,PC,,B00005LBVS,"Explore the West, live the adventure, and survive the trail! Kids will build real-life decision-making and problem-solving skills as they choose their wagon party and supplies, read maps, plan their route, and guide their team through the wilderness. Can they survive the dangers of the long journey, raging rivers, buffalo stampedes, sickness, and starvation? The trail explodes with adventure as you face the rugged challenges and experience real-life events.

Plus, The Oregon Trail 5th Edition introduces players to the Montgomery kids and trail guide Captain Jed, who are heading West from Independence, Missouri, to Oregon City, Oregon, to meet Pa Montgomery. The Montgomery's story is brought to life for players through six exciting movies, Cassie's heartfelt journal entries, and Jed's captivating campfire tales.","The Learning Company",2001-04-01,Adventure,"adventure, history",,10.00,,1,,,,,,,,," Not begun"," "," ",2023-11-23,1
videogame,Fate,PC,PC,PC,,B000HLP5W0,"Live the adventurer’s life in this character-based fantasy game. Choose your character and pet companion as you journey through limitless caverns, dungeons, and tunnels and determine your destiny.","Encore Software",2006-09-12,RPG,"dungeon crawler, rpg",,10.00,,,,,,,,,,," Not begun"," "," ",2023-11-23,1
videogame,"SimCity 4 Deluxe Edition","Windows 98",Windows,98,14633147407,014633147407,"SimCity 4: Deluxe Edition includes the hit SimCity 4 and the all-new SimCity 4: Rush Hour expansion pack. Design, build and watch your city take shape before your eyes. Catch thugs and criminals, put out fires with fire trucks and drive through the city streets that YOU created!","Electronic Arts",,Sandbox,"city, sandbox, simulation",,10.00,,,,,,,Everyone,,,," Not begun"," "," ",2023-11-23,1
videogame,"The Game of Life",PC,PC,PC,,B00005NCCH,"The classic family board game loved by generations now comes to life! With The Game of Life CD-ROM, choose college or a career, get married, start a family, buy a house, and eventually retire. Will you spend your golden years at Countryside Acres or Millionaire Estates? Take a spin and find out with The Game of Life CD-ROM!",Atari,2004-11-04,"Board Game","board game",,5.00,,1,,,,,,,,," Not begun"," "," ",2023-11-23,1
videogame,Westward,PC,PC,PC,,070538113780,"The game is a strategy game set in the Old West and revolves around a slew of characters making a name for themselves in various towns. These include Hope River, Lightning Bluff, and Paradise Falls. The main antagonist of the game is Doc Vostrikov, a Russian prospector who, along with his henchmen the Copperhead Gang, swindles these settlers.","Sandlot Games",2006-11-14,Strategy,"casual, history, strategy",,5.00,,,,,,,,,,," Not begun"," "," ",2023-11-23,1
videogame,"Sim Golf",PC,PC,PC,,B00005N7YS,"Sid Meier's SimGolf puts you in charge of your very own golf resort. You'll get to play the roles of course designer, CEO, and resident pro as your try and grow your business from a small, public pitch-and-putt to a five-star resort complete with private memberships, airstrips, and luxury hotels. To do this, you'll need to design courses that are fun and challenging and manage your resort's resources to satisfy your guests' growing needs. You'll even have a chance to test your course and golf skills when your Sims challenge you to a round.

You can create the world's most challenging and outrageous golf courses in a variety of different environments, including woodlands, desert, tropical, and Scottish links. Then you can build an entire golf resort from the ground up around your course. Hold tournaments, sell memberships, and entice the rich and famous to build homes at your resort. But make sure you manage wisely. Modify your course and resort so you can respond to the needs and interests of your Sims guests.

The skills test against your Sims is the penultimate challenge. Players can bring their existing Sims characters into the game with a user-friendly import tool or create their own Sim golfer from scratch. Customize and play your resident pro against other pros for a big cash purse you can use to upgrade your resort.","Electronic Arts",2002-01-23,Strategy,"casual, simulation, strategy, tycoon",,10.00,,1,,,,,,,,," Not begun"," "," ",2023-11-23,1
videogame,"Reel Deal Slots Nickels &amp; More!",PC,PC,PC,,694721093320,"Phantom EFX does it again with Reel Deal Slots Nickels &amp; More! This hot new game pushes the limits of slot machine variety, bonus games, graphics, and sound. Nickels and More offers 5-reel bonus slots and 3-reel slots that follow the hottest casino trends. New and exciting bonus rounds enhance each slot machine giving you unparalleled slot machine excitement. Our unique prize vault takes on a new face, giving the player a game within a game as they try to unlock the large number of extreme prizes. Don't let yourself miss out on the Reel Deal Slots craze that has swept the country!","Phantom EFX",2005-06-06,Casual,"casual, slots",,10.00,,,,,,,,,,," Not begun"," "," ",2023-11-23,1
videogame,"Mall Tycoon",PC,PC,PC,710425211911,710425211911,"Mall Tycoon is every mall goer's ideal simulation. Design, build, and manage your very own shopping mall. Conduct marketing campaigns to attract new shoppers, organize fashion shows, and research the latest products to drive your shoppers crazy--the mall is yours to control.

Be careful to balance out your stores, and make sure to pay attention to your customers, because in this world, they are always right!","Global Star",2002-02-13,Sandbox,"sandbox, tycoon",,5.00,,,,,,,Teen,,,," Not begun"," "," ",2023-11-24,1
videogame,"Mystery Case Files: Ravenhearst","Windows Vista",Windows,Vista,798936844903,798936844903,"Mystery Case Files: Ravenhearst
Big Fish Games

Unlock the secrets!

What Lies Hidden in the Walls of Ravenhearst? Rumors surrounding the history of stately Ravenhearst® Manor have circulated for decades. The recently acquired diary of Emma Ravenhearst may hold the key to unraveling the tale behind this unsettling place, yet the pages are missing. Unlock the secrets held within Ravenhearst®, scouring a myriad of enchanting rooms for cleverly hidden clues. Locate and assemble diary pages to reveal the story of the house and unveil the mystery.
 
 

 
Features
Dozens of puzzles to solve 
Thousands of unique items to find 
A different experience each time you play 
 

 
System Requirements
Windows® 7, Vista®, XP 
600 MHz or faster processor 
128 MB RAM 
91 MB free hard disk space 
800 x 600 monitor, 16-bit color 
8 MB video card 
DirectX® 8.1 or higher 
Windows-compatible sound card &amp; speakers 
8X CD-ROM or DVD drive 
 
Product Condition
New in Factory Sealed Jewel Case
With Front &amp; Back Insert Cover Artwork","Big Fish Games",,Casual,"casual, mystery",,5.00,,,,,,,Everyone,,,," Not begun"," "," ",2023-11-25,1
videogame,"I Spy Spooky Mansion Deluxe",PC,PC,PC,,007807369490,"Discover a thrilling I SPY adventure hidden in a mysterious old house! A clever skeleton traps you inside his spooky mansion with a challenge to find his secret way out. In first-person play, explore each room of the house to reveal its 33 I SPY riddles. Solve I SPY riddles, earn clues and play brain-teasing game to uncover the mansion's secret escape!",Scholastic,2004-09-12,Casual,"casual, puzzle",,10.00,,,,,,,,,,," Not begun"," "," ",2023-11-25,1
videogame,"ZanZarah: The Hidden Portal",PC,PC,PC,,065122202109,"Zanzarah - The Hidden Portal is an amazingly enjoyable adventure game brought to life by a vividly visualized and elaborately produced world. The story revolves around a young girl named Amy who escapes to the magical world of Zanzarah.
There she is charged with merging the fairytale kingdom with the real world, saving it from destruction. Help her to use magical powers and items to collect and train fairies and demons. Use your creatures in fast-paced battles to defeat the evil that defiles Zanzarah.","Funatics Development",2002-12-18,RPG,"adventure, rpg","EHAM OJWO 529U G67E DFTV",10.00,,,,,,,,,,," Not begun"," "," ",2023-11-26,1
videogame,"My Amazing Human Body",PC,PC,PC,,0-7894-8306,"My Amazing Human Body is the best introduction to the human body and its working for your children. Learn about the human body from the inside out through interactive games and activities.","Dorling Kindersley",2005-06-15,Educational,educational,Copied,5.00,,,,,,,,,,," Not begun"," "," ",2023-11-26,1
videogame,"Sim City Societies","Windows XP",Windows,XP,14633157451,014633157451,"Build artistic societies or police states, industrial wastelands or spiritual enclaves, romantic hamlets or cyberpunk complexes. The power to build your utopia or your inferno is in your hands! You have never created cities like these before!","Electronic Arts",,Sandbox,"building, sandbox, simulation","With Destinations expansion",10.00,,,,,,,Teen,,,," Not begun"," "," ",2023-11-26,1
videogame,"Mystery Case Files Prime Suspects",PC,PC,PC,,004787535361,"The Queen's Hope Diamond has been stolen! It's up to you to search for clues throughout 22 levels, find the offending culprit, and recover the stolen gem in Mystery Case Files: Prime Suspects™. Expand your investigations through the game's 29 unique locations by finding items that will unlock subsequent levels. Thousands of clues are cleverly hidden within the beautiful illustrations, creating a new game experience each time you step into this masterpiece of visual indulgences!","Big Fish Games",2006-04-06,Educational,educational,Copied,5.00,,,,,,,,,,," Not begun"," "," ",2023-11-26,1
videogame,"Cruise Ship Tycoon",PC,PC,PC,,047875316232,"Take the helm of a fleet of cruise ships and see if you can keep the business afloat. Colorful and crazy characters—both staff and guests—will make waves and do all kinds of crazy things when out to sea. While keeping order on board you'll also have to watch for icebergs, land and pesky sea creatures. Choose from various locations, ship models, food, staff and buildings and ride the business to riches or end up all wet.

Cruise Ship Tycoon is a fun and exciting simulation game that lets you take control of a fleet of cruise ships. Features include: colorful and unique characters (including staff and passengers), Challenge, Career and Open Play game modes, various locations ranging from Antarctica to Alaska and Russia to Mexico. There are 4 base model ships to choose from and a large variety of rooms, food, staff and entertainment buildings to create. Don't forget to steer your ship clear of icebergs, land and those pesky sea creatures.",Activision,2004-07-14,Sandbox,"casual, sandbox, simulation, tycoon",,10.00,,,,,,,,,,," Not begun"," "," ",2023-11-26,1
videogame,"Ski Resort Tycoon",PC,PC,PC,,B00005OBQ0,"Ski Resort Tycoon is a simulation game in which you have to make and control a Ski Resort.

The objective of Ski Resort Tycoon is to make money, in this instance by investing capital in a mountain ski resort and then building and managing numerous aspects revolving around the business such as infrastructure (including ski lifts, ski runs, and ski jump ramps), lodging, dining, entertainment, landscaping, maintenance and safety staff, guest amenities/customer satisfaction, etc. in order to turn a profit.

It can be played on one of three difficulty settings and features several modes of play. There is a tutorial mode that guides you through each step necessary to accomplish your goals. The ""challenges"" mode supplies a number of scenarios, each with specific mission objectives that must be met in order to successfully complete the scenario.",Activision,2001-09-01,Sandbox,"building, sandbox, simulation, tycoon",,5.00,,,,,,,,,,," Not begun"," "," ",2023-11-26,1
